genes	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	0.0263123584615953	-0.786708409801605	4.23403920788768	-0.185805650626954	0.852597173140574	NA
A1CF	0.0243888888902354	-0.770644584084236	4.23409958294272	-0.182009083392562	0.855575597452692	NA
A2ML1	0.34567898776177	-0.957877731282455	1.75544865931452	-0.545659781161868	0.585299822915209	NA
A3GALT2	0.0875775502396009	-0.113886110739481	3.01071367827521	-0.0378269483283195	0.969825658085192	NA
A4GALT	0.0402817232267499	-0.898929992145625	4.2336341232051	-0.212330580769479	0.83184913930243	NA
A4GNT	0.0227446279800096	-0.747821581014813	4.23418642101001	-0.176615176248293	0.85981067256513	NA
AAAS	1.20640554867984	0.378810215614931	1.21235448198174	0.312458296022232	0.754692252501281	NA
AACS	2.19466806952296	-0.120013503668691	0.691825654243488	-0.173473624362667	0.862279158267362	NA
AADAC	0	NA	NA	NA	NA	NA
AADACL2	0	NA	NA	NA	NA	NA
AADACL3	0	NA	NA	NA	NA	NA
AADACL4	0	NA	NA	NA	NA	NA
AADAT	1.44045724057936	-0.889406550871542	0.985248282467453	-0.90272326955406	0.366672783318382	NA
AAGAB	1.77829803339227	0.085819144829899	0.819555451501879	0.104714262680616	0.916602544202498	NA
AAK1	15.8033986778644	-0.467943794962528	0.322756475973558	-1.44983549455059	0.147104398866765	0.723398492431863
AAMDC	1.86280576067252	-1.10007398245999	0.982184351244463	-1.12002800804773	0.262701826970993	NA
AAMP	1.12155769861993	1.42595472214841	0.890926181075566	1.60053072009505	0.109480897546462	NA
AANAT	0	NA	NA	NA	NA	NA
AAR2	1.61078305931195	0.377127321878064	0.692581994482563	0.544523716877481	0.586081132360541	NA
AARD	0	NA	NA	NA	NA	NA
AARS2	0.60732325268908	1.32365538291441	1.74665053304129	0.757824967201449	0.44855577357236	NA
AASDH	2.56971618780448	0.336086343994611	0.693163092856517	0.484858971082265	0.627776388034603	NA
AASDHPPT	3.62390403533322	0.521299252940624	0.549447220842468	0.948770388066238	0.342737405614223	0.840879871551833
AASS	10.7359984317798	1.70035898740527	0.457513040722576	3.71652572945199	0.000201981080726627	0.0413534301766431
AATF	2.63514606733958	0.210008138642661	0.731458633392959	0.287108701784697	0.774029089493258	NA
AATK	4.67292403746995	1.33115376738823	0.490240458716983	2.7153078529504	0.00662141874771938	0.25726970759368
ABAT	8.07342838718432	0.296451387953153	1.01982740849599	0.290687802155023	0.771290101425667	0.967385765040542
ABCA1	2.93800781190363	1.25749421291946	0.650077279219275	1.93437650125178	0.0530668534924638	0.571467534894825
ABCA12	0	NA	NA	NA	NA	NA
ABCA13	0.40629135459281	-0.748906807970956	1.85365536126704	-0.404016206906472	0.686200801355198	NA
ABCA2	8.27171381155807	-0.0254382241559847	0.603359284098354	-0.0421609890266277	0.966370361137632	0.991002127941323
