genes	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	DEG	HARs.Intron	HARs.Flanking	HARs.FlankingandIntron	HARs.Intron.Simp	HARs.Flanking.Simp	HARs.FlankingandIntron.Simp	hCONDELs.Intron	hCONDELs.Flanking	hCONDELs.FlankingandIntron	hCONDELs.Intron.Simp	hCONDELs.Flanking.Simp	hCONDELs.FlankingandIntron.Simp	HARorhCONDEL	HARandhCONDEL
AAMDC	11.6409025336565	-1.39737721269996	0.293663252215771	-4.75843402998624	1.95100633824423e-06	0.000115637971732781	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ABCA1	12.7005925449193	-3.03823068972281	0.603104933695951	-5.03764854169556	4.71285789903116e-07	3.58893077475588e-05	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	1222	NA	1222	TRUE	FALSE	TRUE	TRUE	FALSE
ABCB11	3.06546475424032	4.54947523875753	0.646588580971871	7.03612060689245	1.97665860461545e-12	6.99504597962738e-10	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ABCB6	3.13682714883544	4.23528859716286	0.680153213333052	6.22696256393184	4.75564695820189e-10	9.53665736684753e-08	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ABCB8	14.143110369498	1.1633992038918	0.271720208662362	4.28160720771943	1.85548292608557e-05	0.000729580737472601	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ABHD12	63.2803977776364	-0.509727717937257	0.135656394938296	-3.75749125700346	0.000171625361397526	0.00418015455128549	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ABHD12B	9.30720923214469	2.30785690607974	0.376573488500988	6.12856979195891	8.86725312820364e-10	1.64139676366994e-07	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ABR	153.270224535968	-0.89001048700699	0.218668580043496	-4.07013429560825	4.69860445027215e-05	0.00149559811496493	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ABTB2	8.12796049926565	-1.40342099210672	0.390173971578791	-3.59691085089031	0.000322018786421121	0.00667149507371015	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ACADM	24.4131911035344	1.24117323988881	0.304473262928962	4.07646053367381	4.57264123082238e-05	0.00145936390687679	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ACAP2	144.518745556908	-0.755161281323641	0.182088613592097	-4.14721857905572	3.36538742017024e-05	0.00115035060907637	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ACO2	53.7477811830725	-0.964945625402226	0.208107958677308	-4.63675503587284	3.53921436450067e-06	0.000190958866518709	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ACTN2	31.0286751250538	0.87166001205843	0.153884422354189	5.66438109019357	1.475561436082e-08	1.81162808152435e-06	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ACTR2	94.3296237956584	0.64058500703693	0.177371242292745	3.61154941892815	0.000304373066773713	0.00640247681717012	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ADAMTS19	68.8568062818835	1.8382853844211	0.462949243680283	3.97081410006717	7.16274545225345e-05	0.00209179983692994	TRUE	HARsv2_2334	NA	HARsv2_2334	TRUE	FALSE	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
ADD3	40.5039693983196	-1.66818197409786	0.423487304970084	-3.93915462050439	8.17692219658943e-05	0.00232588009147433	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ADGRL2	268.304797956857	1.53465411553366	0.346399547191043	4.43030058202496	9.41018316666391e-06	0.000428876226747349	TRUE	HARsv2_0079	HARsv2_0080	HARsv2_0080,HARsv2_0079	TRUE	TRUE	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
ADTRP	15.7662990473802	3.86671567474147	0.626301971491191	6.17388392620739	6.66324679025746e-10	1.29309976419964e-07	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
AEBP2	171.563202012291	-2.53922416854399	0.53690947869397	-4.72933384361298	2.25257719419245e-06	0.00012906194666916	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
AGAP2	39.0865214912681	-1.29588481800245	0.287848444674553	-4.5019691507022	6.73267557807165e-06	0.000322682097010749	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
AHCY	3.87081959380724	1.67002364995764	0.42733497280998	3.90799666822552	9.30645893924819e-05	0.00258603496436569	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
