genes	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	DEG	HARs.Intron	HARs.Flanking	HARs.FlankingandIntron	HARs.Intron.Simp	HARs.Flanking.Simp	HARs.FlankingandIntron.Simp	hCONDELs.Intron	hCONDELs.Flanking	hCONDELs.FlankingandIntron	hCONDELs.Intron.Simp	hCONDELs.Flanking.Simp	hCONDELs.FlankingandIntron.Simp	HARorhCONDEL	HARandhCONDEL
A1BG	1.75587092003053	4.31378064670202	0.759856029146421	5.67710261054041	1.36995302808885e-08	1.43554823663717e-06	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
AAMDC	30.9210370349332	-0.994066178474923	0.24589258638974	-4.0426846253076	5.28426745297965e-05	0.00154834045156619	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ABHD12	104.740070388836	-0.669392676491006	0.16479907127069	-4.06187165576617	4.86808400975278e-05	0.00144349781248425	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ABR	273.986847221626	-0.791079535353229	0.211142982919459	-3.74665321297932	0.000179209563733084	0.00405105348365554	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ACACA	317.400426137537	0.529179443910232	0.123484800165366	4.28538122264097	1.82426094205946e-05	0.000648189268636933	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ACADM	54.1195570967912	1.11297585913409	0.237219943159622	4.69174658888266	2.70882523062348e-06	0.000138981842226802	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ACMSD	5.96593668966371	2.88617173975979	0.575528984290475	5.01481561926533	5.30843465963721e-07	3.43658610295362e-05	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ACO2	88.4079633180001	-0.779501467545487	0.167312830312272	-4.65894615547792	3.17832317298008e-06	0.000157199864135595	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ACTN2	42.0426160602187	0.930735879153151	0.232386902024383	4.00511333059337	6.19877548050541e-05	0.00176201974290688	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ADAMTS19	60.348291862905	2.4884855875111	0.358675503728368	6.93798589991158	3.97729402251364e-12	8.47917941178986e-10	TRUE	HARsv2_2334	NA	HARsv2_2334	TRUE	FALSE	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
ADAMTS9	15.0721944822077	-2.87531610854856	0.718326198615004	-4.00280000101963	6.25972163943406e-05	0.00176715657697722	TRUE	HARsv2_1822,HARsv2_1823,HARsv2_1824	NA	HARsv2_1822,HARsv2_1823,HARsv2_1824	TRUE	FALSE	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
ADAMTSL3	79.9855991719822	-1.33936398418054	0.248747313420207	-5.38443597948719	7.26721634204402e-08	6.1128659911139e-06	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	480	NA	480	TRUE	FALSE	TRUE	TRUE	FALSE
ADCY8	46.4458984189194	-2.37254318025409	0.432346035511785	-5.48760248823749	4.0742563641283e-08	3.70427793694459e-06	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ADGB	19.6177649178025	-3.99811595380112	1.01343111445416	-3.94512848162802	7.97572023216966e-05	0.00213988628318599	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ADRA1A	37.619062603589	-4.05525255644528	1.11621420401669	-3.63304152720191	0.000280099917819446	0.00574367410254968	TRUE	NA	HARsv2_2777	HARsv2_2777	FALSE	TRUE	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
ADTRP	26.8365276334353	2.83003026594715	0.488748483711807	5.7903612190353	7.02352107271931e-09	7.75409268430127e-07	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
AEBP2	301.129779105195	-2.01525470375564	0.513744528785436	-3.92267866778062	8.75699095402748e-05	0.00227958301361157	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
AEN	10.5959356515074	2.09598945874301	0.489600404595415	4.281020683541	1.86038063938897e-05	0.000653511551308084	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
AGAP2	70.1229961069139	-1.09135363207069	0.279499915386596	-3.9046653397414	9.43558652058527e-05	0.0024306464026466	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
AGPAT5	42.4773737170523	0.693999182410629	0.194195560159725	3.57371292031505	0.000351954797218427	0.00682119289593394	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
AHCY	9.52467690362888	1.7818843624482	0.28417317886008	6.27041710831392	3.60082202825544e-10	5.5851222984337e-08	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
AKAP13	39.689695053914	2.52898224237811	0.547164373544627	4.62197899690529	3.80096504622239e-06	0.00018287522488926	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ALG12	19.0005312607988	2.01818218763316	0.554934352327861	3.6367944769813	0.000276052015540728	0.00567007171455333	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ANGPT1	39.1157714330679	-2.82748845051859	0.765260716078457	-3.69480412506723	0.000220056361360864	0.00477367878636331	TRUE	HARsv2_2864	HARsv2_2863	HARsv2_2863,HARsv2_2864	TRUE	TRUE	TRUE	NA	1194	1194	FALSE	TRUE	TRUE	TRUE	TRUE
ANKRD23	22.7496114170283	-2.27196408318203	0.466606602773061	-4.86912116048008	1.1209566480742e-06	6.60029950163691e-05	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ANKRD7	63.6196333606846	-3.88832303218187	0.76587020224954	-5.07700002005686	3.8344083203636e-07	2.64874071962547e-05	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ANKUB1	17.0247373438707	-6.54336458412228	1.34658757270023	-4.85921949435586	1.17849422948048e-06	6.80938371379725e-05	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ANXA5	24.9652653383095	-2.41617501570165	0.517295572089993	-4.67078232651355	3.00054769744964e-06	0.000150209604368279	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
AP1S3	11.2840677986143	2.80247238594818	0.325132354005745	8.61948173234911	6.72578296906061e-18	3.13288191009643e-15	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
AP2A1	82.3801636216212	-0.635914786601669	0.163134082871848	-3.89811114518124	9.69459212296217e-05	0.00247672792562866	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
AP3S2	35.5743076975387	-8.17402739494386	1.30954537431912	-6.24188176694057	4.32337710457788e-10	6.44079010820548e-08	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
APOO	64.6049245280275	1.50859176969541	0.236028876492883	6.39155594904891	1.64206176730017e-10	2.73478491303987e-08	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
APPBP2	111.741790862854	-0.523893622072388	0.126801738823096	-4.13159651385604	3.60252372620593e-05	0.00114512097363847	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	514	514	FALSE	TRUE	TRUE	TRUE	FALSE
AQP9	2.34480257397321	3.60483098131282	0.666100262933628	5.41184440527989	6.23788805907919e-08	5.31941281727684e-06	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ARHGAP10	49.1328769646228	-1.09935693791213	0.26345381767805	-4.17286394860894	3.00794572066534e-05	0.000997840180614325	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	177	NA	177	TRUE	FALSE	TRUE	TRUE	FALSE
ARHGAP18	12.6883233620878	1.82065582215998	0.439664987648032	4.14100706972255	3.45784301541359e-05	0.00111588536179525	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ARHGAP25	10.0664730625191	3.56930649117032	0.759968966050547	4.69664769302292	2.64466026375441e-06	0.000136825205695913	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ARHGAP27	2.46843870608354	2.09587724560795	0.526783634448536	3.97863014063073	6.93134681678232e-05	0.00192597985144974	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ARHGAP29	45.9823849539711	2.13575431134637	0.608084527630116	3.51226550635983	0.00044430389246661	0.00813898908199946	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ARHGAP35	152.573348019654	-0.76211758430398	0.212972283174401	-3.57848248112121	0.000345595028929696	0.00671899769294919	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ARHGEF39	3.08250346758231	-4.00663201134145	1.03599296110659	-3.86743169283871	0.000109987622915756	0.0027364123890409	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ARL15	590.13198112906	1.34914124442031	0.301455245803895	4.47542798873025	7.62583986809964e-06	0.000320110610860111	TRUE	HARsv2_2255,HARsv2_2256,HARsv2_2257	NA	HARsv2_2255,HARsv2_2256,HARsv2_2257	TRUE	FALSE	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
ARL16	15.2923400956154	1.1054125346314	0.249611864240488	4.42852561513819	9.48794519294982e-06	0.000379671334339238	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ARL5A	45.155725186171	-0.865108210274861	0.190973143976815	-4.52999930911693	5.89838793383983e-06	0.000255907251936595	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ARSJ	102.823689617432	1.03141160586283	0.298009648763213	3.46100070968625	0.00053817139337249	0.00939899615685147	TRUE	NA	HARsv2_2119	HARsv2_2119	FALSE	TRUE	TRUE	NA	169,170,168	169,170,168	FALSE	TRUE	TRUE	TRUE	TRUE
ASH1L	532.109157008078	-0.538214163375361	0.151414248527281	-3.55458068583544	0.000378582330729519	0.00720180079918539	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ASXL3	173.603772749231	0.570247099386228	0.152072077329537	3.74984750257941	0.000176942141020358	0.00401237807915578	TRUE	HARsv2_1186	NA	HARsv2_1186	TRUE	FALSE	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
ATG10	53.563560663137	1.29351723403291	0.17097146338761	7.56569083754273	3.85808652496969e-14	1.22321127900641e-11	TRUE	HARsv2_2271	NA	HARsv2_2271	TRUE	FALSE	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
ATG4C	80.7971460563479	-0.532949609806245	0.144960223071854	-3.6765231075981	0.000236434447446341	0.00503186220770053	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ATP1A3	131.650563213147	-0.762705187567293	0.18964254632233	-4.02180419087467	5.77540605676867e-05	0.0016607650207429	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ATP6AP1L	28.458876576957	1.38861160018617	0.373394822059688	3.71888285040064	0.000200105824624098	0.00442631220299995	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ATP6V1C2	10.928717678829	-2.40509088055566	0.610305859830448	-3.94079598256492	8.12116762123441e-05	0.00217355492719834	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ATP6V1E2	3.77683840042645	3.0339455741754	0.533017712746021	5.69201642201532	1.25547775327546e-08	1.33827434648716e-06	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
AZIN2	51.2227438802291	1.08972322809126	0.242826892103499	4.48765463598978	7.20115407831769e-06	0.000307042310959994	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
BACH1	10.7247392403786	-1.80148751115703	0.458442228310542	-3.92958457992819	8.50927422548901e-05	0.00224823025209768	TRUE	HARsv2_1711,HARsv2_1712	NA	HARsv2_1711,HARsv2_1712	TRUE	FALSE	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
BAIAP2L1	17.458157543654	3.0756788852324	0.465146239865381	6.61228366829869	3.78435924386239e-11	7.42755588100928e-09	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
