genes	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	DEG	HARs.Intron	HARs.Flanking	HARs.FlankingandIntron	HARs.Intron.Simp	HARs.Flanking.Simp	HARs.FlankingandIntron.Simp	hCONDELs.Intron	hCONDELs.Flanking	hCONDELs.FlankingandIntron	hCONDELs.Intron.Simp	hCONDELs.Flanking.Simp	hCONDELs.FlankingandIntron.Simp	HARorhCONDEL	HARandhCONDEL
ABCB8	24.0288723422382	1.27267823673506	0.219269386839347	5.80417656600425	6.4683087752395e-09	6.55636474344024e-07	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ABHD12	93.3675765657797	-0.752421241076367	0.136460635298551	-5.51383363729918	3.51100498152799e-08	2.92067186808211e-06	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ABL1	123.83336005662	-0.539278458737979	0.157365084368854	-3.42692574341297	0.000610455979709893	0.00878537976186573	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ACADSB	66.2331638871955	-0.636531007274356	0.147755013218375	-4.30801631301399	1.64725238705618e-05	0.000524252197695821	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ACADVL	28.8477644040587	1.1728596629148	0.287936054798463	4.07333379536554	4.63449279605679e-05	0.00119702895302007	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ACAP2	262.667858175775	-0.670780272811192	0.133277483299381	-5.03296022858128	4.82963351930564e-07	2.70953672138905e-05	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ACO1	27.424707302201	-2.02024234429507	0.425915016753572	-4.74329916727014	2.10265391056809e-06	9.49895560646901e-05	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ACO2	78.1204928073621	-1.08405278549521	0.207105411362947	-5.23430449432068	1.6560725367583e-07	1.1097526076877e-05	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ACTN2	48.8485999549681	0.90355626856825	0.19741448004106	4.57695032492207	4.71803436270238e-06	0.000190330871180322	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ADAMTS3	54.6436914491435	-3.07999223769668	0.62503106757682	-4.92774263147829	8.31850910793512e-07	4.36251551564841e-05	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
