genes	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	DEG	HARs.Intron	HARs.Flanking	HARs.FlankingandIntron	HARs.Intron.Simp	HARs.Flanking.Simp	HARs.FlankingandIntron.Simp	hCONDELs.Intron	hCONDELs.Flanking	hCONDELs.FlankingandIntron	hCONDELs.Intron.Simp	hCONDELs.Flanking.Simp	hCONDELs.FlankingandIntron.Simp	HARorhCONDEL	HARandhCONDEL
RTTN	28.3577175028442	-0.834655286418004	0.234798534204122	-3.55477213368119	0.000378306795035617	0.0086166066745862	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
RUFY1	59.5325484579167	-0.777756004075816	0.196557055246117	-3.95689690762795	7.59296796859843e-05	0.00256851072792211	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
RWDD2A	6.42993459813862	1.58887619603342	0.407849697856344	3.89573954421088	9.78995497469766e-05	0.00313847109241293	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
SALL4	3.16590495164901	3.98746667658549	0.724955823914185	5.50028918321718	3.79168857645541e-08	4.71145461727876e-06	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
SARM1	29.2422455373974	1.14069980404801	0.247611706719066	4.6068088587678	4.08895540919994e-06	0.000230118342535692	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
SCLY	23.6755420177769	-7.45180395275818	1.22856283269211	-6.06546425991846	1.31573027586472e-09	2.75206916035037e-07	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
SDHD	4.3879500913241	4.74062879457639	0.913065809846278	5.19199026341214	2.08057886733875e-07	2.04980349415055e-05	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
SEC22A	43.5856081427699	0.776819366558983	0.162043097681259	4.79390592795872	1.63564996372789e-06	0.00010843654666243	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	965	965	FALSE	TRUE	TRUE	TRUE	FALSE
SERF2	17.0716584013788	-4.29160178195124	0.769936094457754	-5.57397141508699	2.48996608578677e-08	3.43396421721143e-06	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
SFMBT2	116.358385362238	1.56599782535861	0.429371751359168	3.64718410189182	0.000265129964284949	0.00673770968031723	TRUE	HARsv2_0226,HARsv2_0227	NA	HARsv2_0226,HARsv2_0227	TRUE	FALSE	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
SGPL1	20.0983236672152	1.41658086077901	0.210589375561809	6.72674420065051	1.73501355897337e-11	5.44360504127895e-09	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
SH3D19	78.6735312199762	-1.59731555763999	0.283864451290422	-5.62703625050172	1.83332210949851e-08	2.61456732661436e-06	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
SHPRH	90.9303801416022	0.606196609815584	0.158998547142304	3.81259213188305	0.000137516942604715	0.00400426364197025	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	245	245	FALSE	TRUE	TRUE	TRUE	FALSE
SLC12A8	15.2290449967509	1.98057794298093	0.504507614508756	3.92576422242792	8.64548095335248e-05	0.00284033471111449	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	128	NA	128	TRUE	FALSE	TRUE	TRUE	FALSE
SLC26A3	13.8789749351213	3.83355877190832	0.702926572235098	5.45371155868918	4.93291946943656e-08	6.06942542563028e-06	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
SLC26A5	4.4620190396996	1.59697644559782	0.452593973964409	3.52849692542174	0.00041792680199663	0.00928811768897856	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
SLC28A1	12.0898600804212	-3.98299819613594	1.07185934149788	-3.71597096925969	0.00020242482530723	0.00543989626896304	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
SLC30A3	12.241783533574	-1.64687221936	0.402587420218008	-4.09071952240382	4.30036948220869e-05	0.00161103394034982	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
SLC4A4	139.120823112763	0.56021317188095	0.121584711664723	4.60759551271355	4.07352103834354e-06	0.000230118342535692	TRUE	HARsv2_2080	NA	HARsv2_2080	TRUE	FALSE	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
SLC5A4	8.26852906185792	2.91084405606256	0.699906301315083	4.15890534289126	3.19776370880797e-05	0.00131580113264066	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
SLC8A2	9.31941359067612	-1.50592482781182	0.421965023348293	-3.56883804222043	0.000358567988816989	0.00836436479489444	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
SLCO6A1	10.6247030658624	-5.13890753550078	1.2760743459715	-4.02712236299088	5.64636516509322e-05	0.00201312167107727	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
SLITRK5	44.3930064091641	-1.59146953031951	0.417977680108322	-3.80754668504565	0.000140352249078	0.00407736279150209	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
SLMO2	2.55721856904365	-4.23628217150289	1.06797585066169	-3.96664603312724	7.28911215051983e-05	0.00248338327611783	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
SLX4IP	32.2784045422016	1.1249204788872	0.299699715547172	3.75349198057595	0.000174388113885974	0.00485270693851214	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
SMAD3	37.989878470789	-2.08745527453724	0.440393533484187	-4.73997712460096	2.13742348776545e-06	0.000134123323857282	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
SMIM4	10.6602865519292	-1.41056117676888	0.383628383796367	-3.67689471464556	0.000236090425049712	0.00612484812140219	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
SMYD2	28.5190676449303	-1.1061401411345	0.275003930369648	-4.02227029863782	5.76398562478557e-05	0.00203769069270588	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
