genes	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	DEG	HARs.Intron	HARs.Flanking	HARs.FlankingandIntron	HARs.Intron.Simp	HARs.Flanking.Simp	HARs.FlankingandIntron.Simp	hCONDELs.Intron	hCONDELs.Flanking	hCONDELs.FlankingandIntron	hCONDELs.Intron.Simp	hCONDELs.Flanking.Simp	hCONDELs.FlankingandIntron.Simp	HARorhCONDEL	HARandhCONDEL
AAMDC	18.2799290239707	-1.05638776118595	0.269006560810073	-3.92699627103813	8.60133141706711e-05	0.00261735329343049	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ABCA4	2.23854048860905	2.84697393757839	0.802383309922299	3.54814700452093	0.000387951629626144	0.00830054840887604	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ABCB6	2.57550811839928	3.894025660565	0.939367075807632	4.14537166657355	3.39262969823598e-05	0.00129045581484754	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ABCB8	19.5465456405679	1.17023317341399	0.246731366189497	4.74294448852207	2.10634002958134e-06	0.000127247718257649	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ABHD12	57.4340750970509	-0.969726002830179	0.23632064334674	-4.10343332303541	4.07063806181255e-05	0.00148862146806462	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ABHD6	67.7964546052605	-1.21765155390214	0.298327203157197	-4.08159745747533	4.47272152202242e-05	0.00162165432775851	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ABO	39.0400328538257	-2.95088480962126	0.760555644665222	-3.87990652665548	0.000104496614769055	0.0030809001923776	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ACACA	207.529728880405	0.547633854138177	0.154003394977989	3.55598559509968	0.000376564710930642	0.00815603426627281	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ACADM	33.9922324692664	1.00639328434967	0.233008559616538	4.31912581239887	1.56648465414992e-05	0.000668005428295626	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ACO2	44.6852571264071	-0.868426512115141	0.194467191399942	-4.46567107728281	7.98181605890112e-06	0.000376888509999607	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ACYP1	10.1884529676741	1.62889231141599	0.428541105910144	3.8010176595697	0.000144103030234467	0.00392036588214034	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ADAMTSL3	78.427855863755	-2.55912447844567	0.520962462926488	-4.91230109760669	9.00136794222649e-07	6.26739313672312e-05	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	480	NA	480	TRUE	FALSE	TRUE	TRUE	FALSE
ADGB	13.8154808048505	-4.52951317497535	1.28549685041514	-3.52355058163899	0.00042580581387576	0.00883513542574836	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ADGRL3	935.429159680169	-0.623873964978942	0.161593243182632	-3.8607676453021	0.000113031352548874	0.00322453330743593	TRUE	HARsv2_2069,HARsv2_2070	NA	HARsv2_2069,HARsv2_2070	TRUE	FALSE	TRUE	1007	1006	1006,1007	TRUE	TRUE	TRUE	TRUE	TRUE
ADRA1A	27.5529598689756	-6.00230134144283	1.55352434717547	-3.86366737821384	0.000111697294606823	0.00319518427517396	TRUE	NA	HARsv2_2777	HARsv2_2777	FALSE	TRUE	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
ADRA1D	9.02006188895906	-4.87381660619775	0.981999834352779	-4.9631542040025	6.93574714591428e-07	5.02800869566162e-05	TRUE	NA	HARsv2_1624	HARsv2_1624	FALSE	TRUE	TRUE	NA	542	542	FALSE	TRUE	TRUE	TRUE	TRUE
AGPAT5	26.6863767895833	0.926142173086193	0.216910626865992	4.26969478843638	1.95740637728725e-05	0.000812224787666264	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
AHCY	6.28142332340242	2.62489505709707	0.435388527009986	6.02885674347792	1.65123570312693e-09	2.45178660305256e-07	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
AKAP13	25.4180730223226	2.24198485512152	0.568766248489994	3.94183878012051	8.08593224869872e-05	0.00247888131922794	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ALG12	10.5855151626249	2.74699701867601	0.607251493769055	4.52365625587202	6.07804093751481e-06	0.000297648240655269	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ANGPT1	65.3999007247832	-4.0073037712285	0.864581087244817	-4.63496580060371	3.56996495922091e-06	0.0001904599487335	TRUE	HARsv2_2864	HARsv2_2863	HARsv2_2863,HARsv2_2864	TRUE	TRUE	TRUE	NA	1194	1194	FALSE	TRUE	TRUE	TRUE	TRUE
ANKAR	21.3346330326071	1.55508760108337	0.428947787333214	3.62535405707864	0.000288565826330465	0.00673538871912246	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ANKRD23	15.6261457428389	-2.74216799754797	0.524141341176854	-5.23173385139013	1.67927417213287e-07	1.53299073313818e-05	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ANKRD55	6.1262013282632	2.30427890722254	0.45994432103877	5.00990837764535	5.44559547845146e-07	4.0921657729534e-05	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
