genes	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	DEG	HARs.Intron	HARs.Flanking	HARs.FlankingandIntron	HARs.Intron.Simp	HARs.Flanking.Simp	HARs.FlankingandIntron.Simp	hCONDELs.Intron	hCONDELs.Flanking	hCONDELs.FlankingandIntron	hCONDELs.Intron.Simp	hCONDELs.Flanking.Simp	hCONDELs.FlankingandIntron.Simp	HARorhCONDEL	HARandhCONDEL
A2ML1	3.47735659517833	2.33409766131039	0.64556532801307	3.61558708317608	0.000299667714074744	0.00940059145696802	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ABHD6	43.940800897527	-1.07328460366588	0.262978511076022	-4.08126351949576	4.47915359434352e-05	0.00224420674476104	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ABI3BP	12.4715887367225	3.34996647089298	0.819924054002321	4.08570337038008	4.39434903938811e-05	0.0022256085428901	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ABO	22.352298841403	-6.59262332017567	1.28343525208369	-5.13670113819326	2.79603070894683e-07	3.63906647967929e-05	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ACADM	28.3742607634775	1.18141552949445	0.224869702854809	5.25377814127878	1.49010363664201e-07	2.05910246974494e-05	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ACMSD	2.46642428283355	3.1545851096908	0.862924266539845	3.65569173566072	0.000256489420372387	0.00846869050804757	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ACOT11	9.3245009553608	2.96478095873517	0.50099732556172	5.91775805471824	3.26359569479237e-09	7.45498502281857e-07	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ACVR1	32.6726729773699	-0.776221255711503	0.203304776451417	-3.81801780194276	0.000134528220326788	0.00532075749158211	TRUE	HARsv2_1500	NA	HARsv2_1500	TRUE	FALSE	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
ADAMTS19	35.1194866553318	2.87588317420903	0.488286963704856	5.88973982100278	3.86804105838159e-09	8.65899671329302e-07	TRUE	HARsv2_2334	NA	HARsv2_2334	TRUE	FALSE	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
ADAMTS6	95.9101425431341	1.28566693735564	0.347248813123784	3.70243724028895	0.00021353819385306	0.00742277330371834	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
