genes	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	DEG	HARs.Intron	HARs.Flanking	HARs.FlankingandIntron	HARs.Intron.Simp	HARs.Flanking.Simp	HARs.FlankingandIntron.Simp	hCONDELs.Intron	hCONDELs.Flanking	hCONDELs.FlankingandIntron	hCONDELs.Intron.Simp	hCONDELs.Flanking.Simp	hCONDELs.FlankingandIntron.Simp	HARorhCONDEL	HARandhCONDEL
A1BG	1.64387079811996	3.81404927827898	0.792650611170897	4.81176602216315	1.49602435371034e-06	0.000106834733507902	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
AAMDC	23.5316836992477	-1.38184966384014	0.322707840074601	-4.28204552923381	1.85183078666171e-05	0.000885994033804527	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ABCA1	8.00389435416031	-1.86598835586375	0.522414755528657	-3.57185231871075	0.000354465286529454	0.00848568413206875	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	1222	NA	1222	TRUE	FALSE	TRUE	TRUE	FALSE
ABCB6	3.89139447348131	4.07056275690377	1.0785044120655	3.77426620731946	0.000160479325785099	0.00471734576261314	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ABCB8	27.4352201088533	1.04253501565434	0.206412671719047	5.05073165795439	4.40120991131509e-07	3.6841916078823e-05	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ABHD12	102.540081128709	-0.692023293114693	0.182075947317646	-3.80073976442041	0.000144264750544145	0.00436245561454065	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ACADM	56.2269304486574	0.89025577697607	0.223844185884338	3.97712262866667	6.97541975006013e-05	0.00256306121048721	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ACO2	85.4718346173092	-0.814221948071235	0.20713409766895	-3.93089287198169	8.46309779839832e-05	0.00299645815607156	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ADA	10.1839049579128	-6.30539749211044	1.76074744598841	-3.58109137484556	0.00034216195405955	0.00831716749867829	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ADAMTS19	61.0408300829648	1.63336611522151	0.405953884834555	4.02352625812951	5.73331885512509e-05	0.00222156955941044	TRUE	HARsv2_2334	NA	HARsv2_2334	TRUE	FALSE	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
ADGB	18.8137393121012	-4.27652624282894	1.19252316539018	-3.58611586503622	0.000335639876789856	0.00822187605159648	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ADTRP	4.59216270487653	2.66513125873116	0.563489759647725	4.72968889514037	2.24864149690098e-06	0.000156169387477079	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
AEBP2	290.570126114441	-2.03448964368111	0.499514570971972	-4.07293352768935	4.64246773138122e-05	0.00189292877821479	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
AGAP2	71.6155578151401	-1.19580306186457	0.280074869604281	-4.26958357082921	1.9583826221767e-05	0.000923655087474383	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
AGPAT5	44.3093849284697	0.608303490641986	0.167832968048155	3.62445768382913	0.000289568424367826	0.00742422897364974	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
AHCY	7.90250912393348	1.90427973366683	0.341940258638987	5.56904221002339	2.56143434712578e-08	3.27035658057271e-06	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
AKAP13	70.3930870860312	1.24422031603922	0.283718553776107	4.38540341997189	1.15771016491866e-05	0.000620061715447961	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ALDH1A3	2.04817237722007	3.15346579995322	0.712087783342681	4.4284790073918	9.48999534574901e-06	0.00053076788128437	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ALG12	18.2627121972125	2.20963445478439	0.418293417250127	5.2824987524561	1.2743370360672e-07	1.33401775377531e-05	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ANGPT1	19.7397124003577	-3.54167918889386	0.703151946719403	-5.03686181261073	4.73226159844581e-07	3.90952853623235e-05	TRUE	HARsv2_2864	HARsv2_2863	HARsv2_2863,HARsv2_2864	TRUE	TRUE	TRUE	NA	1194	1194	FALSE	TRUE	TRUE	TRUE	TRUE
