cell_type	cat
All genes	ALL
Astro1	NN
Chandelier1	IN
Endo1	NN
L23IT1	EN
L23IT2	EN
L23IT3	EN
L4IT1	EN
L4IT2	EN
L56NP1	EN
L56NP2	EN
L5ET1	EN
L5ET2	EN
L5IT1	EN
L5IT2	EN
L6CT1	EN
L6CT2	EN
L6IT1	EN
L6ITCar31	EN
L6ITCar32	EN
L6b1	EN
L6b2	EN
L6b3	EN
Lamp51	IN
Lamp52	IN
Lamp5Lhx61	IN
MicroPVM1	NN
OPC1	NN
OPC2	NN
Oligo1	NN
Pax61	IN
Pax62	IN
Pvalb1	IN
Pvalb2	IN
Pvalb3	IN
Pvalb4	IN
Sncg1	IN
Sncg2	IN
Sncg3	IN
Sst1	IN
Sst2	IN
Sst3	IN
Sst4	IN
Sst5	IN
Sst6	IN
Sst7	IN
Sst8	IN
Sst9	IN
SstChodl1	IN
VLMC1	NN
Vip1	IN
Vip2	IN
Vip3	IN
Vip4	IN
Vip5	IN
Vip6	IN
Vip7	IN
Vip8	IN
