cell_type	regdom_prop	num_HARs	num_hCONDELs	num_HARs_hCONDELs	num_HAQERs	num_genes_near_HARs	num_genes_near_hCONDELs	num_genes_near_HARs_hCONDELs	num_genes_near_HAQERs	prop_HARs	prop_hCONDELs	prop_HARs_hCONDELs	prop_HAQERs	pval_genes_near_HARs	pval_genes_near_hCONDELs	pval_genes_near_HARs_hCONDELs	pval_genes_near_HAQERs	pval_HARs	pval_hCONDELs	pval_HARs_hCONDELs	pval_HAQERs	padj_genes_near_HARs	padj_genes_near_hCONDELs	padj_genes_near_HARs_hCONDELs	padj_genes_near_HAQERs	padj_HARs	padj_hCONDELs	padj_HARs_hCONDELs	padj_HAQERs
L23IT	0.1257363962056	554	243	797	242	356	221	519	204	0.0642947444464511	0.0399133104569261	0.0937330684486184	0.0368430558063934	0.993030518920216	0.402701778586896	0.969915946305307	0.670953752306242	1.1454338997572e-15	4.75883090496798e-15	1.13364923605432e-27	0.00079441986156772	1	1	1	1	8.0180372983004e-15	9.99354490043276e-14	1.36037908326518e-26	0.0103274582003804
OPC	0.059929295933765	333	111	444	129	189	93	243	100	0.111373011196229	0.0548025928108427	0.143193871538008	0.0589275191514437	3.49779594577531e-09	0.0041532853100958	1.1529452899613e-07	8.48459057785718e-06	1.22885552113424e-22	2.25416560739781e-06	4.31685766182887e-27	0.000316213761304512	6.99559189155062e-08	0.0706058502716286	2.19059605092647e-06	0.000169691811557144	1.96616883381478e-21	4.50833121479562e-06	4.74854342801176e-26	0.00474320641956768
Sst	0.117088600707491	543	206	749	242	323	188	456	201	0.0686503719447396	0.0399574920297556	0.0969181721572795	0.0427205100956429	0.786191776001678	0.437066438280264	0.808224135141261	0.0152957019838983	1.68850227726664e-19	3.14951189859181e-09	5.90597378874193e-27	1.07981214120353e-05	1	1	1	0.198844125790678	2.02620273271997e-18	2.20465832901427e-08	5.90597378874193e-26	0.000205164306828671
L5IT	0.12276041714917	549	226	775	255	347	210	508	217	0.0646664181885949	0.0391352963101006	0.094670145359672	0.040439806187104	0.988792868242086	0.57746719014785	0.945215902670509	0.0937004237887318	1.07259451344632e-16	6.82860120986803e-12	2.35059849559025e-26	4.15932626251844e-06	1	1	1	0.749603390309854	9.65335062101688e-16	1.09257619357888e-10	2.11553864603122e-25	8.31865252503688e-05
SstChodl	0.0435108160281115	271	76	347	86	128	63	162	65	0.146453089244851	0.0720823798627002	0.185354691075515	0.074370709382151	3.8699810915872e-11	0.000145279200459785	1.12709076937855e-10	1.05929167600869e-06	4.65513332711742e-25	0.000512103030963469	2.45633684737921e-26	0.0224508676904577	8.12696029233312e-10	0.0029055840091957	2.36689061569496e-09	2.33044168721912e-05	7.91372665609961e-24	0.000512103030963469	2.11553864603122e-25	0.127967491444549
Lamp5Lhx6	0.115291272640882	544	192	736	213	328	174	455	181	0.0799025578562728	0.0423873325213155	0.110840438489647	0.0440925700365408	0.0122212315814723	0.202656673384004	0.0101059599272143	0.0131095720844059	4.80733474167892e-21	5.64650447115624e-07	3.24002617752234e-26	0.00973376408012144	0.195539705303557	1	0.161695358835429	0.183534009181683	7.21100211251838e-20	1.69395134134687e-06	2.26801832426564e-25	0.0681363485608501
Lamp5	0.11243074041957	494	208	702	231	306	189	439	197	0.0690744920993228	0.0426636568848758	0.0990970654627539	0.0444695259593679	0.890552112174215	0.219688193234683	0.834996076216214	0.0099572270704703	9.41023033205099e-14	3.87180234041726e-11	1.55129715703985e-22	2.5832584840216e-05	1	1	1	0.159315633127525	5.00018341377244e-13	5.03334304254244e-10	9.3077829422391e-22	0.000464986527123888
L6b	0.102283798142453	457	192	649	200	278	176	410	169	0.0670525808007718	0.0424505547515678	0.0988904968644477	0.0407621804148577	0.965545363008032	0.251002765317014	0.847219960040475	0.219645269543669	8.33363902295406e-14	8.11347075684693e-11	2.4066295465472e-22	0.00115033979707478	1	1	1	1	5.00018341377244e-13	8.92481783253162e-10	1.2033147732736e-21	0.012860224109674
Pvalb	0.123074079424024	519	216	735	242	335	203	489	204	0.0654169107596173	0.0396406951767233	0.0954891622729936	0.0398359695371998	0.978042358716713	0.492822296714634	0.914614177636824	0.175747581977317	1.25290891948083e-11	1.43832823013353e-09	5.9635504555836e-19	0.00024277181246727	1	1	1	1	5.01163567792332e-11	1.15066258410682e-08	2.38542018223344e-18	0.00388434899947632
Pax6	0.0828355091318149	360	159	519	162	238	146	339	140	0.0798389802079839	0.0489768534048977	0.113720228111372	0.0469641060046964	0.15275007500627	0.0187846979744654	0.0586459705952641	0.00875490649230488	1.25188803153262e-09	1.01743098669485e-09	7.84862455167914e-17	0.00337738935521221	1	0.300555167591446	0.762397617738433	0.148833410369183	2.50377606306524e-09	9.15687888025365e-09	2.35458736550374e-16	0.0337738935521221
Sncg	0.100977448049605	436	175	611	198	278	160	395	164	0.0748519116855143	0.0430802369413032	0.106354334948842	0.0441572428648358	0.388394434346677	0.249617807471787	0.269086733514166	0.021440151024488	3.82277734468367e-11	1.66013751679335e-07	9.02359089265094e-17	0.00107168534247283	1	1	1	0.257281812293856	1.1468332034051e-10	6.6405500671734e-07	2.35458736550374e-16	0.012860224109674
Vip	0.118880299200541	482	218	700	221	325	205	481	188	0.0634641671548526	0.0400312438976762	0.0939269673891818	0.0367115797695763	0.996387949083418	0.410750485616403	0.966010852034989	0.704172622335455	1.3664991918416e-08	2.56282650358999e-11	1.07909900073977e-16	0.00656660732688492	1	1	1	1	1.3664991918416e-08	3.58795710502599e-10	2.35458736550374e-16	0.0525328586150794
