cell_type	regdom_prop	num_HARs	num_hCONDELs	num_HARs_hCONDELs	num_HAQERs	num_genes_near_HARs	num_genes_near_hCONDELs	num_genes_near_HARs_hCONDELs	num_genes_near_HAQERs	prop_HARs	prop_hCONDELs	prop_HARs_hCONDELs	prop_HAQERs	pval_genes_near_HARs	pval_genes_near_hCONDELs	pval_genes_near_HARs_hCONDELs	pval_genes_near_HAQERs	pval_HARs	pval_hCONDELs	pval_HARs_hCONDELs	pval_HAQERs	padj_genes_near_HARs	padj_genes_near_hCONDELs	padj_genes_near_HARs_hCONDELs	padj_genes_near_HAQERs	padj_HARs	padj_hCONDELs	padj_HARs_hCONDELs	padj_HAQERs
Micro-PVM	0.0561369203544887	394	119	513	75	179	93	217	66	0.199554069119286	0.103678929765886	0.241917502787068	0.0735785953177258	1.31851125167103e-31	1.24050219122332e-14	5.8778541672087e-30	3.52805663066918e-06	7.11576660175831e-48	7.6401949327089e-10	5.92189267860019e-55	0.94324521771359	2.90072475367627e-30	2.7291048206913e-13	1.29312791678591e-28	7.40891892440528e-05	1.56546865238683e-46	7.6401949327089e-09	1.30281638929204e-53	1
Astro	0.10048497325398	522	199	721	184	303	174	415	155	0.0968051118210863	0.055591054313099	0.13258785942492	0.0495207667731629	5.95265808994894e-08	1.13495516366855e-05	8.23367141218999e-09	0.000196419747536197	5.43151451767523e-29	3.02130462738764e-13	2.18350514762332e-40	0.0213279152407581	1.1310050370903e-06	0.000238340584370395	1.646734282438e-07	0.00373197520318774	1.03198775835829e-27	5.74047879203652e-12	4.58536081000897e-39	0.127967491444549
Chandelier	0.100628982116141	534	178	712	179	308	163	420	151	0.090668236679423	0.0479835148660583	0.12363850456285	0.0444509861642626	5.84916480563776e-05	0.0209807556549197	5.41506066544912e-05	0.0326387400763002	6.77565752574594e-32	3.23801162110351e-08	5.88395986378012e-38	0.0542118465875365	0.0010528496650148	0.314711334823795	0.00092056031312635	0.326387400763002	1.42288808040665e-30	1.61900581055176e-07	1.17679197275602e-36	0.162635539762609
L5ET	0.0820557819110675	449	155	604	159	239	137	335	128	0.0844224655598728	0.0483927940657012	0.118332744613211	0.0452137054044507	0.0400505367587327	0.0329694367498875	0.0142474485795617	0.0394125962710582	2.79533686194536e-29	4.92246761479934e-09	2.11373919631618e-36	0.00512282115291227	0.60075805138099	0.461572114498425	0.213711728693426	0.354713366439524	5.59067372389072e-28	2.9534805688796e-08	4.01610447300074e-35	0.0461053903762104
Oligo	0.0976338458707029	502	186	688	146	290	164	401	136	0.0884685784014643	0.0500305064063453	0.122330689444783	0.0414887126296522	6.10438354453171e-05	0.00141088134834328	1.51831520848984e-05	0.148818194117455	7.53591598244556e-27	5.28114107196942e-11	4.62311221531905e-36	0.772074017223591	0.0010528496650148	0.025395864270179	0.000273296737528171	1	1.3564648768402e-25	6.3373692863633e-10	8.32160198757429e-35	1
L6IT	0.114002482492325	538	218	756	227	318	196	461	190	0.064765784114053	0.039918533604888	0.0938900203665988	0.0386965376782077	0.982079358538791	0.435743422123799	0.958759319312405	0.330196505694409	8.18059190254995e-21	5.12305115844569e-13	1.03510820601397e-31	0.000194433534988103	1	1	1	1	1.14528286635699e-19	9.22149208520224e-12	1.75968395022375e-30	0.00330537009479775
L6CT	0.114052636339124	538	212	750	206	319	191	460	174	0.0713486915678819	0.0427197494967569	0.102885260568106	0.0389174681279356	0.676743939536826	0.208156400936439	0.468678083994039	0.486419525378326	8.9382428497804e-21	1.56457836190049e-11	2.24621253948325e-30	0.0247537123229334	1	1	1	1	1.16197157047145e-19	2.34686754285073e-10	3.5939400631732e-29	0.127967491444549
L56NP	0.117339648314537	528	234	762	228	329	213	488	197	0.0723553991642841	0.0468440730151748	0.107323510006598	0.0433252694084011	0.337460982988085	0.0012578212240594	0.0241609136598441	0.0110741186557075	1.63196060118245e-16	6.07526459921112e-16	2.57382715748161e-29	0.000704559393591437	1	0.0238986032571286	0.338252791237817	0.166111779835612	1.30556848094596e-15	1.33655821182645e-14	3.86074073622242e-28	0.00986383151028012
L4IT	0.124833428837769	560	240	800	261	351	211	499	218	0.0671641791044776	0.0403750478377344	0.0954841178721776	0.0417145044010716	0.905852154386368	0.343263604849504	0.903562976571134	0.0258205002280486	2.67813934403404e-17	1.30673026357889e-14	3.49866111783761e-29	1.92021364193525e-06	1	1	1	0.284025502508535	2.67813934403404e-16	2.61346052715778e-13	4.89812556497265e-28	4.03244864806402e-05
L6ITCar3	0.120644199832307	549	225	774	254	336	201	487	216	0.0688806888068881	0.0412054120541205	0.0998359983599836	0.044280442804428	0.765518691827607	0.230470450989471	0.510731092439597	0.00181568286261914	4.06168668521596e-18	2.2456155999342e-12	2.73990595771518e-28	1.62729878090695e-06	1	1	1	0.0326822915271445	4.46785535373756e-17	3.81754651988814e-11	3.56187774502973e-27	3.58005731799529e-05
